PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,PARKDIST,HOSPDIST,WARD,TABSYSTEM,TABMODEL,MAILBALLOT,7AM,EDR,SIGNATURES,REGMILOVAB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSSWP,USPRSCP,USPRSCG,USPRSGP,USPRSGR,USPRSSL,USPRSJP,USPRSWI,USPRSTOTAL,USSENIP,USSENR,USSENDFL,USSENGR,USSENMOP,USSENWI,USSENTOTAL,USREPIP,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENIP,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL,MNCA2YES,MNCA2NO,MNCA2EST,MNCA2TOTAL,VTDID
MCGRATH,0115,Mcgrath,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,YES,55,1,32,0,0,0,32,16,12,1,0,0,0,0,0,0,0,0,29,4,10,17,0,0,0,31,0,13,18,0,31,0,16,13,0,29,0,20,10,0,30,21,8,3,32,26,6,0,32,270010115
MCGREGOR,0120,Mcgregor,Aitkin,1,8,10,10B,04,09,3001,,,,Precinct Tabulator,Model 100,,150,40,145,6,0,0,151,58,87,2,0,0,0,0,0,0,0,2,149,4,32,108,0,0,0,144,0,49,97,0,146,0,55,85,1,141,0,62,78,1,141,90,60,1,151,61,88,2,151,270010120
MCGREGOR TWP,0125,Mcgregor Twp,Aitkin,1,8,10,10B,04,09,3001,,,,Precinct Tabulator,Model 100,,53,8,41,6,0,0,47,24,18,1,0,1,0,3,0,0,0,0,47,5,19,21,1,1,0,47,0,22,23,0,45,0,25,19,0,44,0,23,21,0,44,35,12,0,47,21,26,0,47,270010125
MACVILLE TWP,0130,Macville Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,108,18,94,11,0,0,105,49,48,3,0,1,0,2,0,0,0,0,103,0,36,59,7,0,0,102,0,46,56,1,103,0,47,53,0,100,0,47,53,0,100,65,37,3,105,44,58,3,105,270010130
MILLWARD TWP,0132,Millward Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Central Count,Model 100,YES,37,2,30,0,0,0,30,13,17,0,0,0,0,0,0,0,0,0,30,0,13,15,0,1,1,30,0,13,15,0,28,0,13,15,0,28,0,13,15,0,28,19,11,0,30,12,18,0,30,270010132
MALMO TWP,0135,Malmo Twp,Aitkin,1,8,10,10B,02,09,3001,,,,Precinct Tabulator,Model 100,,239,25,192,33,0,0,225,108,112,1,0,0,0,0,0,0,0,0,221,3,62,137,2,1,0,205,0,97,113,0,210,0,98,106,0,204,0,99,114,0,213,132,88,5,225,120,95,10,225,270010135
MORRISON TWP,0140,Morrison Twp,Aitkin,1,8,10,10B,04,09,3001,,,,Precinct Tabulator,Model 100,,119,30,97,13,0,0,110,64,42,1,0,0,0,0,1,0,0,2,110,6,41,57,0,0,1,105,0,61,48,0,109,0,61,44,1,106,0,64,43,1,108,74,34,2,110,69,40,1,110,270010140
NORDLAND TWP,0145,Nordland Twp,Aitkin,1,8,10,10B,02,09,3001,,,,Precinct Tabulator,Model 100,,703,53,569,96,0,0,665,346,312,3,0,0,0,2,1,0,0,0,664,13,221,406,4,3,0,647,0,317,339,2,658,0,330,314,1,645,0,323,335,0,658,429,233,3,665,334,327,4,665,270010145
PALISADE,0150,Palisade,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,113,13,70,15,0,0,85,37,45,1,0,0,0,0,0,0,0,0,83,1,22,55,3,1,0,82,0,34,48,0,82,0,37,47,0,84,0,39,44,0,83,59,26,0,85,37,47,1,85,270010150
PLINY TWP,0155,Pliny Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Central Count,Model 100,YES,48,2,46,0,0,0,46,35,9,0,0,1,1,0,0,0,0,0,46,2,23,16,0,1,0,42,0,33,12,0,45,0,36,9,0,45,0,33,13,0,46,36,10,0,46,33,13,0,46,270010155
RICE RIVER TWP,0160,Rice River Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,99,8,81,4,0,0,85,50,34,0,0,0,0,0,0,0,0,1,85,0,35,44,0,0,0,79,0,45,37,0,82,0,43,37,0,80,0,44,37,0,81,62,23,0,85,44,41,0,85,270010160
SALO TWP,0165,Salo Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,57,5,45,2,0,0,47,14,33,0,0,0,0,0,0,0,0,0,47,0,10,34,0,1,0,45,0,13,32,0,45,0,15,29,0,44,0,15,31,0,46,22,25,0,47,19,28,0,47,270010165
SEAVEY TWP,0170,Seavey Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,43,3,32,4,0,0,36,24,11,1,0,0,0,0,0,0,0,0,36,1,16,17,0,0,0,34,0,23,11,0,34,0,24,10,0,34,0,23,11,0,34,25,11,0,36,24,11,1,36,270010170
SHAMROCK TWP,0175,Shamrock Twp,Aitkin,1,8,10,10B,04,09,3001,,,,Precinct Tabulator,Model 100,,785,88,604,105,3,0,712,333,368,1,0,0,0,2,0,0,1,2,707,15,174,479,7,3,1,679,0,312,375,3,690,0,322,345,2,669,0,315,345,1,661,407,298,7,712,343,362,7,712,270010175
SPALDING TWP,0180,Spalding Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Central Count,Model 100,YES,120,34,120,0,0,0,120,33,79,4,0,0,0,0,0,0,0,2,118,7,19,82,4,0,2,114,0,29,87,3,119,0,31,84,0,115,0,31,82,0,113,61,59,0,120,41,77,2,120,270010180
SPENCER TWP,0185,Spencer Twp,Aitkin,1,8,10,10B,01,09,3001,,,,Precinct Tabulator,Model 100,,364,27,313,28,0,0,341,196,134,7,0,0,1,2,0,0,0,0,340,4,130,188,2,3,0,327,0,174,154,1,329,0,191,140,0,331,0,177,155,0,332,218,122,1,341,187,152,2,341,270010185
TAMARACK,0190,Tamarack,Aitkin,1,8,10,10B,04,09,3001,,,,Central Count,Model 100,YES,34,2,30,0,0,0,30,15,14,0,0,0,0,0,0,0,1,0,30,3,10,17,0,0,0,30,0,15,15,0,30,0,13,17,0,30,0,19,10,0,29,23,7,0,30,17,12,1,30,270010190
TURNER TWP,0195,Turner Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,127,8,89,15,0,0,104,53,50,0,0,0,0,0,1,0,0,0,104,0,38,62,0,1,0,101,0,44,55,0,99,0,49,51,0,100,0,47,53,0,100,66,38,0,104,51,53,0,104,270010195
VERDON TWP,0200,Verdon Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Central Count,Model 100,YES,38,0,37,0,0,0,37,19,16,0,0,0,0,1,0,0,0,0,36,4,16,16,0,0,0,36,0,19,15,0,34,0,19,14,1,34,0,21,14,1,36,23,14,0,37,20,16,1,37,270010200
WAGNER TWP,0205,Wagner Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,222,15,186,23,1,0,210,101,99,0,0,0,0,4,1,0,0,3,208,4,65,128,2,1,0,200,0,100,102,1,203,0,99,98,0,197,0,99,99,0,198,155,54,1,210,115,92,3,210,270010205
WAUKENABO TWP,0210,Waukenabo Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,217,18,177,27,0,0,204,98,98,5,0,0,0,0,2,0,0,1,204,5,65,125,2,0,0,197,0,96,103,1,200,0,88,107,0,195,0,95,106,0,201,138,63,3,204,106,97,1,204,270010210
WEALTHWOOD TWP,0215,Wealthwood Twp,Aitkin,1,8,10,10B,02,09,3001,,,,Precinct Tabulator,Model 100,,231,6,178,23,0,0,201,82,116,0,0,0,0,0,1,0,0,0,199,2,45,143,2,0,0,192,0,75,118,0,193,0,79,114,0,193,0,81,113,0,194,109,90,2,201,99,102,0,201,270010215
WHITE PINE TWP,0220,White Pine Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Central Count,Model 100,,26,3,21,4,0,0,25,14,10,0,0,0,0,1,0,0,0,0,25,1,8,16,0,0,0,25,0,16,9,0,25,0,10,12,0,22,0,10,15,0,25,12,12,1,25,11,14,0,25,270010220
WILLIAMS TWP,0225,Williams Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,75,7,61,5,1,0,67,33,32,0,0,1,0,0,0,0,1,0,67,6,22,29,3,2,1,63,0,28,36,1,65,0,29,31,0,60,0,29,34,0,63,47,19,1,67,40,26,1,67,270010225
WORKMAN TWP,0230,Workman Twp,Aitkin,1,8,10,10B,04,09,3001,,,,Precinct Tabulator,Model 100,,138,17,110,9,0,0,119,61,55,0,0,0,0,0,0,0,0,3,119,5,27,78,3,1,0,114,0,58,59,0,117,0,56,58,0,114,0,55,61,0,116,87,31,1,119,68,50,1,119,270010230
NE AITKIN UNORG,0240,Northeast Aitkin Unorganized,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,29,2,27,2,0,0,29,17,10,0,0,0,0,0,0,0,0,2,29,0,14,13,0,0,0,27,0,20,8,0,28,0,17,10,0,27,0,15,13,0,28,20,8,1,29,19,10,0,29,270010240
UNORG 48-27 (BLIND LAKE UNORG),0255,Northwest Aitkin Unorganized,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,23,0,13,6,0,0,19,8,11,0,0,0,0,0,0,0,0,0,19,1,5,13,0,0,0,19,0,6,13,0,19,0,8,11,0,19,0,8,11,0,19,11,7,1,19,10,8,1,19,270010255
NW AITKIN UNORG P-2,0260,Northwest Aitkin Unorganized,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,83,5,74,2,0,0,76,29,43,2,0,0,2,0,0,0,0,0,76,3,18,53,1,0,0,75,0,26,50,0,76,0,29,46,0,75,0,32,42,0,74,47,29,0,76,31,44,1,76,270010260
UNORG 51-27 (LEMAY UNORG),0285,Northwest Aitkin Unorganized,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,29,6,27,3,0,0,30,14,16,0,0,0,0,0,0,0,0,0,30,1,8,20,0,0,0,29,0,10,19,0,29,0,11,19,0,30,0,11,18,0,29,13,17,0,30,16,14,0,30,270010285
NW AITKIN UNORG P-1,0290,Northwest Aitkin Unorganized,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,53,10,52,2,0,0,54,28,23,1,0,0,0,1,1,0,0,0,54,0,20,28,2,0,0,50,0,31,21,0,52,0,28,23,0,51,0,25,25,0,50,42,10,2,54,24,29,1,54,270010290
ANDOVER P-1,0005,Andover,Anoka,2,6,35,35B,07,10,4003,,,,Precinct Tabulator,Accuvote,,2170,237,1820,179,0,0,1999,1235,705,15,0,5,1,11,3,0,2,3,1980,41,867,1017,18,7,1,1951,0,1112,833,2,1947,0,1134,717,0,1851,0,1174,701,3,1878,1199,781,19,1999,1241,738,20,1999,270030005
ANDOVER P-2,0010,Andover,Anoka,2,6,35,35B,07,10,4003,,,,Precinct Tabulator,Accuvote,,2051,241,1715,169,0,0,1884,1103,732,24,0,3,2,7,1,0,0,8,1880,54,707,1046,14,8,1,1830,0,953,850,9,1812,0,1022,758,3,1783,0,1065,707,3,1775,1027,839,18,1884,1097,771,16,1884,270030010
ANDOVER P-3,0015,Andover,Anoka,2,6,35,35B,05,10,4003,,,,Precinct Tabulator,Accuvote,,2396,330,1985,232,0,0,2217,1244,924,26,0,5,1,2,2,0,0,6,2210,60,828,1254,15,11,0,2168,0,1101,1016,12,2129,0,1147,920,4,2071,0,1185,886,3,2074,1215,984,18,2217,1255,932,30,2217,270030015
ANDOVER P-4,0020,Andover,Anoka,2,6,35,35B,05,10,4003,,,,Precinct Tabulator,Accuvote,,1752,221,1506,130,0,0,1636,880,705,21,1,1,1,6,0,0,3,6,1624,43,575,941,19,5,1,1584,0,786,796,4,1586,0,829,686,5,1520,0,867,657,3,1527,870,752,14,1636,925,693,18,1636,270030020
ANDOVER P-5,0025,Andover,Anoka,2,6,35,35B,02,10,4003,,,,Precinct Tabulator,Accuvote,,2105,265,1899,169,2,0,2070,1304,725,24,0,0,0,3,2,0,1,4,2063,47,883,1089,11,1,1,2032,0,1126,882,5,2013,0,1236,698,2,1936,0,1288,664,2,1954,1092,959,19,2070,1250,806,14,2070,270030025
ANDOVER P-6,0030,Andover,Anoka,2,6,31,31B,02,10,4003,,,,Precinct Tabulator,Accuvote,,1621,220,1439,113,0,0,1552,934,572,19,0,4,1,5,1,0,1,7,1544,33,642,823,11,4,0,1513,0,844,665,2,1511,0,881,578,1,1460,0,886,536,1,1423,866,671,15,1552,904,628,20,1552,270030030
ANDOVER P-7,0035,Andover,Anoka,2,6,35,35B,02,10,4003,,,,Precinct Tabulator,Accuvote,,1513,190,1354,85,0,0,1439,867,549,12,1,2,0,1,1,0,0,3,1436,35,575,791,6,2,2,1411,0,782,610,4,1396,0,818,507,0,1325,0,849,492,0,1341,695,731,13,1439,871,557,11,1439,270030035
ANDOVER P-8,0040,Andover,Anoka,2,6,35,35B,02,10,4003,,,,Precinct Tabulator,Accuvote,,1821,237,1559,138,3,0,1700,1003,663,17,0,0,0,3,1,0,3,6,1696,32,670,941,14,2,2,1661,0,871,771,6,1648,0,939,639,3,1581,0,1005,590,5,1600,885,802,13,1700,992,695,13,1700,270030040
ANDOVER P-9,0045,Andover,Anoka,2,6,35,35B,05,10,4003,,,,Precinct Tabulator,Accuvote,,1778,174,1561,162,0,0,1723,1054,634,11,0,1,1,3,1,0,1,6,1712,27,680,949,12,3,0,1671,0,922,748,3,1673,0,970,625,4,1599,0,1040,573,1,1614,840,872,11,1723,1037,668,18,1723,270030045
ANDOVER P-10,0050,Andover,Anoka,2,6,35,35B,05,10,4003,,,,Precinct Tabulator,Accuvote,,2295,345,1994,150,2,0,2146,1224,877,24,0,0,0,3,0,0,1,11,2140,58,777,1221,15,6,1,2078,0,1052,1000,4,2056,0,1128,831,2,1961,0,1150,818,1,1969,1095,1027,24,2146,1259,857,30,2146,270030050
ANOKA P-1,0105,Anoka,Anoka,2,6,35,35A,07,10,4003,,,,Precinct Tabulator,Accuvote,,952,208,775,105,0,0,880,360,481,19,2,1,1,2,1,0,1,5,873,30,223,567,16,6,0,842,0,343,490,1,834,0,325,469,0,794,76,429,305,2,812,401,466,13,880,456,404,20,880,270030105
ANOKA P-2,0110,Anoka,Anoka,2,6,35,35A,01,10,4003,,,,Precinct Tabulator,Accuvote,,1309,340,1092,123,1,0,1216,555,612,25,2,0,0,11,0,0,2,6,1213,37,376,758,16,3,2,1192,0,529,636,4,1169,0,509,615,5,1129,79,637,430,4,1150,574,638,4,1216,613,592,11,1216,270030110
ANOKA P-3,0115,Anoka,Anoka,2,6,35,35A,01,10,4003,,,,Precinct Tabulator,Accuvote,,1368,242,1137,92,1,0,1230,612,585,17,0,4,0,3,1,0,0,7,1229,31,369,772,17,6,0,1195,0,567,627,0,1194,0,526,604,3,1133,74,697,384,2,1157,588,624,18,1230,682,523,25,1230,270030115
ANOKA P-4,0120,Anoka,Anoka,2,6,35,35A,07,10,4003,,,,Precinct Tabulator,Accuvote,,1211,225,1035,117,4,0,1156,504,621,16,0,1,0,6,0,0,0,3,1151,26,320,753,17,6,1,1123,0,480,638,5,1123,0,443,630,1,1074,86,586,407,3,1082,519,624,13,1156,550,592,14,1156,270030120
ANOKA P-5,0125,Anoka,Anoka,2,6,35,35A,07,10,4003,,,,Precinct Tabulator,Accuvote,,1202,261,978,126,0,0,1104,506,568,14,0,0,0,4,1,0,1,5,1099,29,318,695,14,10,1,1067,0,473,586,3,1062,0,465,540,3,1008,72,587,378,1,1038,552,543,9,1104,563,528,13,1104,270030125
ANOKA P-6,0130,Anoka,Anoka,2,6,35,35A,07,10,4003,,,,Precinct Tabulator,Accuvote,,1182,276,922,98,0,0,1020,386,588,24,0,0,3,6,2,0,2,5,1016,37,250,665,14,11,1,978,0,390,579,1,970,0,360,573,4,937,86,472,385,4,947,501,506,13,1020,481,517,22,1020,270030130
ANOKA P-7,0135,Anoka,Anoka,2,6,35,35A,07,10,4003,,,,Precinct Tabulator,Accuvote,,1297,251,1122,61,3,0,1186,570,582,23,0,0,0,0,0,0,0,9,1184,34,368,719,15,8,3,1147,0,521,612,7,1140,0,510,574,2,1086,102,608,386,2,1098,606,568,12,1186,636,531,19,1186,270030135
ANOKA P-8,0140,Anoka,Anoka,2,6,35,35A,07,10,4003,,,,Precinct Tabulator,Accuvote,,1261,142,1072,62,0,0,1134,583,518,17,0,0,1,6,2,0,2,4,1133,36,335,710,10,6,0,1097,0,533,559,1,1093,0,527,515,0,1042,107,624,321,1,1053,597,534,3,1134,598,526,10,1134,270030140
BETHEL P-1,0205,Bethel,Anoka,2,6,31,31A,02,10,4003,,,,Precinct Tabulator,Accuvote,,282,77,253,15,0,0,268,144,109,8,0,2,1,0,0,0,0,1,265,16,90,144,2,2,2,256,0,132,120,1,253,0,118,128,1,247,0,113,128,0,241,147,118,3,268,159,101,8,268,270030205
BLAINE W-1 P-1,0305,Blaine,Anoka,2,6,37,37A,03,10,4003,,1420,W-01,Precinct Tabulator,Accuvote,,1348,265,1238,73,4,0,1315,527,763,13,0,3,0,7,1,0,0,1,1315,32,319,909,12,5,2,1279,0,459,791,2,1252,0,495,754,4,1253,0,477,733,2,1212,613,685,17,1315,602,691,22,1315,270030305
BLAINE W-1 P-2,0310,Blaine,Anoka,2,6,37,37A,03,10,4003,,1420,W-01,Precinct Tabulator,Accuvote,,1542,281,1350,102,1,0,1453,628,785,17,0,3,0,4,0,0,0,10,1447,29,401,951,19,8,0,1408,0,573,817,2,1392,0,593,787,2,1382,0,586,744,3,1333,743,686,24,1453,713,715,25,1453,270030310
BLAINE W-1 P-3,0315,Blaine,Anoka,2,6,37,37A,03,10,4003,,1420,W-01,Precinct Tabulator,Accuvote,,1246,253,1135,63,0,0,1198,509,647,16,0,1,0,5,2,0,2,7,1189,33,311,786,18,12,2,1162,0,451,691,7,1149,0,480,650,3,1133,0,456,637,5,1098,593,592,13,1198,565,618,15,1198,270030315
BLAINE W-1 P-4,0320,Blaine,Anoka,2,6,37,37A,03,10,4003,,1420,W-01,Precinct Tabulator,Accuvote,,927,167,856,51,0,0,907,384,480,20,1,3,0,7,1,0,2,4,902,26,222,618,9,3,0,878,0,349,521,3,873,0,356,507,1,864,0,344,496,2,842,410,492,5,907,448,449,10,907,270030320
